,userID,date,UVExposureTime
374,USER3,2019-05-10,23:59:59
375,USER3,2019-05-11,23:59:59
376,USER3,2019-05-12,23:59:59
377,USER3,2019-05-13,23:59:59
378,USER3,2019-05-14,23:59:59
379,USER4,2019-05-08,23:59:59
380,USER4,2019-05-09,23:59:59
381,USER4,2019-05-10,23:59:59
382,USER4,2019-05-11,23:59:59
383,USER4,2019-05-12,23:59:59
384,USER4,2019-05-13,23:59:59
385,USER4,2019-05-14,11:55:15.385000
386,USER4,2019-05-08,23:59:59
387,USER4,2019-05-09,14:15:05.284000
388,USER4,2019-05-10,23:59:59
389,USER4,2019-05-11,23:59:59
390,USER4,2019-05-12,14:15:02.918000
391,USER4,2019-05-13,23:59:59
392,USER4,2019-05-14,23:59:59
393,USER4,2019-05-08,23:59:59
394,USER4,2019-05-09,23:59:59
395,USER4,2019-05-10,23:59:59
396,USER4,2019-05-11,23:59:59
397,USER4,2019-05-12,23:59:59
398,USER4,2019-05-13,23:59:59
399,USER4,2019-05-14,23:59:59
400,USER4,2019-05-08,23:59:59
401,USER4,2019-05-09,23:59:59
402,USER4,2019-05-10,23:59:59
403,USER4,2019-05-11,23:59:59
404,USER4,2019-05-12,23:59:59
405,USER4,2019-05-13,23:59:59
406,USER4,2019-05-14,12:45:18.140000
407,USER4,2019-05-08,11:47:21.354000
408,USER4,2019-05-09,11:10:05.695000
409,USER4,2019-05-10,23:59:59
410,USER4,2019-05-11,23:59:59
411,USER4,2019-05-12,23:59:59
412,USER4,2019-05-13,23:59:59
413,USER4,2019-05-14,23:59:59
414,USER4,2019-05-08,23:59:59
415,USER4,2019-05-09,10:41:29.754000
416,USER4,2019-05-10,00:00:06.913000
417,USER4,2019-05-11,23:59:59
418,USER4,2019-05-12,23:59:59
419,USER4,2019-05-13,23:59:59
420,USER4,2019-05-14,23:59:59
421,USER4,2019-05-08,23:59:59
422,USER4,2019-05-09,12:12:09.824000
423,USER4,2019-05-10,23:59:59
424,USER4,2019-05-11,23:59:59
425,USER4,2019-05-12,23:59:59
426,USER4,2019-05-13,23:59:59
427,USER4,2019-05-14,23:59:59
428,USER4,2019-05-08,23:59:59
429,USER4,2019-05-09,23:59:59
430,USER4,2019-05-10,23:59:59
431,USER4,2019-05-11,23:59:59
432,USER4,2019-05-12,23:59:59
433,USER4,2019-05-13,23:59:59
434,USER4,2019-05-14,15:51:49.844000
435,USER4,2019-05-08,23:59:59
436,USER4,2019-05-09,23:59:59
437,USER4,2019-05-10,23:59:59
438,USER4,2019-05-11,10:53:47.608000
439,USER4,2019-05-12,23:59:59
440,USER4,2019-05-13,23:59:59
441,USER4,2019-05-14,12:45:57.891000
442,USER4,2019-05-08,23:59:59
443,USER4,2019-05-09,11:35:39.796000
444,USER4,2019-05-10,23:59:59
445,USER4,2019-05-11,23:59:59
446,USER4,2019-05-12,23:59:59
447,USER4,2019-05-13,23:59:59
448,USER4,2019-05-14,23:59:59
449,USER4,2019-05-08,23:59:59
450,USER4,2019-05-09,12:09:42.534000
451,USER4,2019-05-10,23:59:59
452,USER4,2019-05-11,12:34:50.096000
453,USER4,2019-05-12,13:06:56.913000
454,USER4,2019-05-13,12:16:44.709000
455,USER4,2019-05-14,12:24:01.689000
456,USER4,2019-05-08,23:59:59
457,USER4,2019-05-09,23:59:59
458,USER4,2019-05-10,23:59:59
459,USER4,2019-05-11,23:59:59
460,USER4,2019-05-12,23:59:59
461,USER4,2019-05-13,23:59:59
462,USER4,2019-05-14,23:59:59
463,USER4,2019-05-08,23:59:59
464,USER4,2019-05-09,23:59:59
465,USER4,2019-05-10,23:59:59
466,USER4,2019-05-11,23:59:59
467,USER4,2019-05-12,23:59:59
468,USER4,2019-05-13,23:59:59
469,USER4,2019-05-14,23:59:59
470,USER4,2019-05-22,14:22:25.791000
471,USER4,2019-05-08,23:59:59
472,USER4,2019-05-09,23:59:59
473,USER4,2019-05-10,23:59:59
474,USER4,2019-05-11,23:59:59
475,USER4,2019-05-12,23:59:59
476,USER4,2019-05-13,23:59:59
477,USER4,2019-05-14,23:59:59
478,USER4,2019-05-08,23:59:59
479,USER4,2019-05-09,23:59:59
480,USER4,2019-05-10,23:59:59
481,USER4,2019-05-11,23:59:59
482,USER4,2019-05-12,23:59:59
483,USER4,2019-05-13,23:59:59
484,USER4,2019-05-14,23:59:59
485,USER4,2019-05-22,14:52:52.837000
486,USER4,2019-05-08,23:59:59
487,USER4,2019-05-09,23:59:59
488,USER4,2019-05-10,23:59:59
489,USER4,2019-05-11,23:59:59
490,USER4,2019-05-12,23:59:59
491,USER4,2019-05-13,23:59:59
492,USER4,2019-05-14,23:59:59
493,USER4,2019-05-22,12:49:44.939000
