,timestamp,datetime,date,time,userID,appName,totalTimeForeground
0,1557529262821,2019-05-11 08:01:02.821,2019-05-11,08:01:02.821000,P0704,카카오톡,326461
0,1557534962821,2019-05-11 09:36:02.821,2019-05-11,09:36:02.821000,P0704,카카오톡,411188
0,1557703862821,2019-05-13 08:31:02.821,2019-05-13,08:31:02.821000,P0704,카카오톡,178430
0,1557706262821,2019-05-13 09:11:02.821,2019-05-13,09:11:02.821000,P0704,카카오톡,271256
0,1557707162821,2019-05-13 09:26:02.821,2019-05-13,09:26:02.821000,P0704,카카오톡,325816
0,1557708062821,2019-05-13 09:41:02.821,2019-05-13,09:41:02.821000,P0704,카카오톡,343277
0,1557711662821,2019-05-13 10:41:02.821,2019-05-13,10:41:02.821000,P0704,카카오톡,367248
0,1557712562821,2019-05-13 10:56:02.821,2019-05-13,10:56:02.821000,P0704,카카오톡,404658
0,1557713462821,2019-05-13 11:11:02.821,2019-05-13,11:11:02.821000,P0704,카카오톡,622891
0,1557714362821,2019-05-13 11:26:02.821,2019-05-13,11:26:02.821000,P0704,카카오톡,777905
0,1557786962821,2019-05-14 07:36:02.821,2019-05-14,07:36:02.821000,P0704,카카오톡,535977
0,1557792362821,2019-05-14 09:06:02.821,2019-05-14,09:06:02.821000,P0704,카카오톡,691232
0,1557793262821,2019-05-14 09:21:02.821,2019-05-14,09:21:02.821000,P0704,카카오톡,779460
0,1557794162821,2019-05-14 09:36:02.821,2019-05-14,09:36:02.821000,P0704,카카오톡,798142
0,1557795062821,2019-05-14 09:51:02.821,2019-05-14,09:51:02.821000,P0704,카카오톡,889612
0,1557795962821,2019-05-14 10:06:02.821,2019-05-14,10:06:02.821000,P0704,카카오톡,891958
0,1557797762821,2019-05-14 10:36:02.821,2019-05-14,10:36:02.821000,P0704,카카오톡,904678
0,1557798662821,2019-05-14 10:51:02.821,2019-05-14,10:51:02.821000,P0704,카카오톡,936290
0,1557801362821,2019-05-14 11:36:02.821,2019-05-14,11:36:02.821000,P0704,카카오톡,998323
0,1557273848715,2019-05-08 09:04:08.715,2019-05-08,09:04:08.715000,P0705,Instagram,437262
0,1557273848715,2019-05-08 09:04:08.715,2019-05-08,09:04:08.715000,P0705,카카오톡,863548
0,1557279848715,2019-05-08 10:44:08.715,2019-05-08,10:44:08.715000,P0705,카카오톡,1019102
0,1557280748715,2019-05-08 10:59:08.715,2019-05-08,10:59:08.715000,P0705,카카오톡,1116336
0,1557281648715,2019-05-08 11:14:08.715,2019-05-08,11:14:08.715000,P0705,카카오톡,1181124
0,1557282548715,2019-05-08 11:29:08.715,2019-05-08,11:29:08.715000,P0705,카카오톡,1346687
0,1557283448715,2019-05-08 11:44:08.715,2019-05-08,11:44:08.715000,P0705,카카오톡,1379947
0,1557349448715,2019-05-09 06:04:08.715,2019-05-09,06:04:08.715000,P0705,카카오톡,1879677
0,1557358448715,2019-05-09 08:34:08.715,2019-05-09,08:34:08.715000,P0705,카카오톡,2192332
0,1557363848715,2019-05-09 10:04:08.715,2019-05-09,10:04:08.715000,P0705,카카오톡,2230884
0,1557365648715,2019-05-09 10:34:08.715,2019-05-09,10:34:08.715000,P0705,Instagram,104472
0,1557365648715,2019-05-09 10:34:08.715,2019-05-09,10:34:08.715000,P0705,카카오톡,2245473
0,1557366548715,2019-05-09 10:49:08.715,2019-05-09,10:49:08.715000,P0705,카카오톡,2254652
0,1557367448715,2019-05-09 11:04:08.715,2019-05-09,11:04:08.715000,P0705,카카오톡,2288721
0,1557368348715,2019-05-09 11:19:08.715,2019-05-09,11:19:08.715000,P0705,카카오톡,2292491
0,1557369248715,2019-05-09 11:34:08.715,2019-05-09,11:34:08.715000,P0705,카카오톡,2335600
0,1557370148715,2019-05-09 11:49:08.715,2019-05-09,11:49:08.715000,P0705,카카오톡,2338238
0,1557447848715,2019-05-10 09:24:08.715,2019-05-10,09:24:08.715000,P0705,카카오톡,1615051
0,1557449948715,2019-05-10 09:59:08.715,2019-05-10,09:59:08.715000,P0705,카카오톡,1720441
0,1557453548715,2019-05-10 10:59:08.715,2019-05-10,10:59:08.715000,P0705,카카오톡,1723732
0,1557534548715,2019-05-11 09:29:08.715,2019-05-11,09:29:08.715000,P0705,Instagram,296328
0,1557535448715,2019-05-11 09:44:08.715,2019-05-11,09:44:08.715000,P0705,카카오톡,610693
0,1557538148715,2019-05-11 10:29:08.715,2019-05-11,10:29:08.715000,P0705,카카오톡,634233
0,1557539048715,2019-05-11 10:44:08.715,2019-05-11,10:44:08.715000,P0705,카카오톡,639652
0,1557539948715,2019-05-11 10:59:08.715,2019-05-11,10:59:08.715000,P0705,카카오톡,790079
0,1557541748715,2019-05-11 11:29:08.715,2019-05-11,11:29:08.715000,P0705,카카오톡,805925
0,1557542648715,2019-05-11 11:44:08.715,2019-05-11,11:44:08.715000,P0705,카카오톡,902891
0,1557543548715,2019-05-11 11:59:08.715,2019-05-11,11:59:08.715000,P0705,카카오톡,924745
0,1557705848715,2019-05-13 09:04:08.715,2019-05-13,09:04:08.715000,P0705,카카오톡,2378846
0,1557708848715,2019-05-13 09:54:08.715,2019-05-13,09:54:08.715000,P0705,카카오톡,2394926
0,1557709748715,2019-05-13 10:09:08.715,2019-05-13,10:09:08.715000,P0705,카카오톡,2398697
0,1557713348715,2019-05-13 11:09:08.715,2019-05-13,11:09:08.715000,P0705,카카오톡,2422943
0,1557715148715,2019-05-13 11:39:08.715,2019-05-13,11:39:08.715000,P0705,카카오톡,2430466
0,1557795248715,2019-05-14 09:54:08.715,2019-05-14,09:54:08.715000,P0705,카카오톡,497492
0,1557796148715,2019-05-14 10:09:08.715,2019-05-14,10:09:08.715000,P0705,카카오톡,519342
0,1557797048715,2019-05-14 10:24:08.715,2019-05-14,10:24:08.715000,P0705,카카오톡,767815
0,1557797948715,2019-05-14 10:39:08.715,2019-05-14,10:39:08.715000,P0705,카카오톡,774910
0,1557798848715,2019-05-14 10:54:08.715,2019-05-14,10:54:08.715000,P0705,Instagram,62909
0,1557798848715,2019-05-14 10:54:08.715,2019-05-14,10:54:08.715000,P0705,카카오톡,787031
0,1557802448715,2019-05-14 11:54:08.715,2019-05-14,11:54:08.715000,P0705,카카오톡,1097374
0,1557273892547,2019-05-08 09:04:52.547,2019-05-08,09:04:52.547000,P0706,카카오톡,2640718
0,1557274492547,2019-05-08 09:14:52.547,2019-05-08,09:14:52.547000,P0706,카카오톡,2671390
0,1557275392547,2019-05-08 09:29:52.547,2019-05-08,09:29:52.547000,P0706,카카오톡,2791087
0,1557276292547,2019-05-08 09:44:52.547,2019-05-08,09:44:52.547000,P0706,카카오톡,2798025
0,1557277192547,2019-05-08 09:59:52.547,2019-05-08,09:59:52.547000,P0706,카카오톡,2804471
0,1557278092547,2019-05-08 10:14:52.547,2019-05-08,10:14:52.547000,P0706,카카오톡,2863965
0,1557278992547,2019-05-08 10:29:52.547,2019-05-08,10:29:52.547000,P0706,카카오톡,3230295
