,userID,date,studyTime
283,USER3,2019-05-06,3.0
284,USER3,2019-05-08,0.0
285,USER3,2019-05-09,0.0
286,USER3,2019-05-10,0.0
287,USER3,2019-05-11,0.0
288,USER3,2019-05-12,0.0
289,USER3,2019-05-13,0.0
290,USER3,2019-05-14,0.0
291,USER3,2019-04-30,7069.561
292,USER3,2019-05-01,17888.13
293,USER3,2019-05-02,9588.512
294,USER3,2019-05-03,17766.946
295,USER3,2019-05-08,0.0
296,USER3,2019-05-09,0.0
297,USER3,2019-05-10,0.0
298,USER3,2019-05-11,0.0
299,USER3,2019-05-12,0.0
300,USER3,2019-05-13,0.0
301,USER3,2019-05-14,0.0
302,USER3,2019-04-30,30.0
303,USER3,2019-05-02,11335.001
304,USER3,2019-05-08,0.0
305,USER3,2019-05-09,0.0
306,USER3,2019-05-10,0.0
307,USER3,2019-05-11,0.0
308,USER3,2019-05-12,0.0
309,USER3,2019-05-13,0.0
310,USER3,2019-05-14,0.0
311,USER3,2019-04-30,21.0
312,USER3,2019-05-02,4368.958
313,USER3,2019-05-08,0.0
314,USER3,2019-05-09,0.0
315,USER3,2019-05-10,0.0
316,USER3,2019-05-11,0.0
317,USER3,2019-05-12,0.0
318,USER3,2019-05-13,0.0
319,USER3,2019-05-14,0.0
320,USER3,2019-04-30,7114.0
321,USER3,2019-05-01,12396.803
322,USER3,2019-05-02,8286.0
323,USER3,2019-05-03,5987.0
324,USER3,2019-05-08,0.0
325,USER3,2019-05-09,0.0
326,USER3,2019-05-10,0.0
327,USER3,2019-05-11,0.0
328,USER3,2019-05-12,0.0
329,USER3,2019-05-13,0.0
330,USER3,2019-05-14,0.0
331,USER3,2019-05-08,0.0
332,USER3,2019-05-09,0.0
333,USER3,2019-05-10,0.0
334,USER3,2019-05-11,0.0
335,USER3,2019-05-12,0.0
336,USER3,2019-05-13,0.0
337,USER3,2019-05-14,0.0
338,USER3,2019-05-01,1649.0
339,USER3,2019-05-08,0.0
340,USER3,2019-05-09,0.0
341,USER3,2019-05-10,0.0
342,USER3,2019-05-11,0.0
343,USER3,2019-05-12,0.0
344,USER3,2019-05-13,0.0
345,USER3,2019-05-14,0.0
346,USER3,2019-04-30,134.001
347,USER3,2019-05-01,27.542
348,USER3,2019-05-08,0.0
349,USER3,2019-05-09,0.0
350,USER3,2019-05-10,0.0
351,USER3,2019-05-11,0.0
352,USER3,2019-05-12,0.0
353,USER3,2019-05-13,0.0
354,USER3,2019-05-14,0.0
355,USER3,2019-04-30,17151.426
356,USER3,2019-05-01,6369.531
357,USER3,2019-05-02,7926.966
358,USER3,2019-05-03,533.959
359,USER3,2019-05-05,2666.396
360,USER3,2019-05-08,0.0
361,USER3,2019-05-09,0.0
362,USER3,2019-05-10,0.0
363,USER3,2019-05-11,0.0
364,USER3,2019-05-12,0.0
365,USER3,2019-05-13,0.0
366,USER3,2019-05-14,0.0
367,USER3,2019-04-30,2259.0
368,USER3,2019-05-01,10155.417
369,USER3,2019-05-02,1460.0
370,USER3,2019-05-05,2747.0
371,USER3,2019-05-08,0.0
372,USER3,2019-05-09,0.0
373,USER3,2019-05-10,0.0
374,USER3,2019-05-11,0.0
375,USER3,2019-05-12,0.0
376,USER3,2019-05-13,0.0
377,USER3,2019-05-14,0.0
378,USER3,2019-05-01,14.0
379,USER3,2019-05-02,593.0
380,USER3,2019-05-03,183.0
381,USER3,2019-05-05,7.0
382,USER3,2019-05-08,0.0
383,USER3,2019-05-09,0.0
384,USER3,2019-05-10,0.0
385,USER3,2019-05-11,0.0
386,USER3,2019-05-12,0.0
387,USER3,2019-05-13,0.0
388,USER3,2019-05-14,0.0
389,USER3,2019-05-01,5576.967
390,USER3,2019-05-02,17931.358
391,USER3,2019-05-08,0.0
392,USER3,2019-05-09,0.0
393,USER3,2019-05-10,0.0
394,USER3,2019-05-11,0.0
395,USER3,2019-05-12,0.0
396,USER3,2019-05-13,0.0
397,USER3,2019-05-14,0.0
398,USER3,2019-04-30,8237.876
399,USER3,2019-05-01,18871.369
400,USER3,2019-05-02,5626.038
401,USER3,2019-05-03,89.404
402,USER3,2019-05-04,27.988
403,USER3,2019-05-06,9999.389
404,USER3,2019-05-08,0.0
405,USER3,2019-05-09,0.0
406,USER3,2019-05-10,0.0
407,USER3,2019-05-11,0.0
408,USER3,2019-05-12,0.0
409,USER3,2019-05-13,0.0
410,USER3,2019-05-14,0.0
411,USER3,2019-04-30,15897.0
412,USER3,2019-05-01,12.0
413,USER3,2019-05-02,3034.0
414,USER3,2019-05-03,7.0
415,USER3,2019-05-04,290.123
416,USER3,2019-05-06,21.0
417,USER3,2019-05-08,0.0
418,USER3,2019-05-09,0.0
419,USER3,2019-05-10,0.0
420,USER3,2019-05-11,0.0
421,USER3,2019-05-12,0.0
422,USER3,2019-05-13,0.0
423,USER3,2019-05-14,0.0
424,USER3,2019-04-30,4656.925
425,USER3,2019-05-01,10698.121
426,USER3,2019-05-02,4803.639
427,USER3,2019-05-08,0.0
428,USER3,2019-05-09,0.0
429,USER3,2019-05-10,0.0
430,USER3,2019-05-11,0.0
431,USER3,2019-05-12,0.0
432,USER3,2019-05-13,0.0
433,USER3,2019-05-14,0.0
434,USER3,2019-04-30,17366.579
435,USER3,2019-05-01,6314.999
436,USER3,2019-05-08,0.0
437,USER3,2019-05-09,0.0
438,USER3,2019-05-10,0.0
439,USER3,2019-05-11,0.0
440,USER3,2019-05-12,0.0
441,USER3,2019-05-13,0.0
442,USER3,2019-05-14,0.0
443,USER4,2019-05-08,9.0
444,USER4,2019-05-09,11873.0
