,userID,date,wakeUpTime
300,P3018,2019-05-02,10:16:17.603000
301,P3018,2019-05-03,09:40:42.324000
302,P3018,2019-05-04,09:43:33.050000
303,P3018,2019-05-05,08:41:48.997000
304,P3018,2019-05-06,10:34:48.761000
305,P3019,2019-04-30,09:00:10.587000
306,P3019,2019-05-01,08:08:36.928000
307,P3019,2019-05-02,07:34:47.596000
308,P3019,2019-05-03,07:08:48.154000
309,P3019,2019-05-04,07:59:02.980000
310,P3019,2019-05-05,08:30:36.569000
311,P3019,2019-05-06,08:04:50.989000
312,P3021,2019-04-30,09:32:45.639000
313,P3021,2019-05-01,09:24:07.107000
314,P3021,2019-05-02,09:04:00.680000
315,P3021,2019-05-03,10:58:40.209000
316,P3021,2019-05-04,07:45:22.128000
317,P3021,2019-05-05,07:15:22.208000
318,P3021,2019-05-06,07:15:28.807000
319,P3022,2019-04-30,09:43:29.770000
320,P3022,2019-05-01,08:17:57.281000
321,P3022,2019-05-02,07:59:10.667000
322,P3022,2019-05-03,08:57:30.144000
323,P3022,2019-05-04,07:38:20.536000
324,P3022,2019-05-05,11:54:02.287000
325,P3022,2019-05-06,07:53:14.252000
326,P3024,2019-05-01,17:07:29.962000
327,P3024,2019-05-02,17:10:06.104000
328,P3024,2019-05-03,10:17:33.972000
329,P3024,2019-05-06,16:35:45.190000
330,P0717,2019-05-08,14:18:10.365000
331,P0717,2019-05-09,14:23:02.755000
332,P0717,2019-05-10,10:47:47.134000
333,P0717,2019-05-11,09:41:02.868000
334,P0717,2019-05-12,14:25:09.681000
335,P0717,2019-05-13,13:11:20.890000
336,P0717,2019-05-14,09:53:45.010000
337,P0718,2019-05-08,09:00:35.267000
338,P0718,2019-05-09,09:32:15.531000
339,P0718,2019-05-10,06:15:34.569000
340,P0718,2019-05-11,11:24:45.197000
341,P0718,2019-05-12,12:31:59.159000
342,P0718,2019-05-13,09:01:23.906000
343,P0718,2019-05-14,06:45:38.009000
344,P0719,2019-05-08,09:00:07.013000
345,P0719,2019-05-09,10:21:50.838000
346,P0719,2019-05-10,10:48:32.812000
347,P0719,2019-05-11,09:45:10.902000
348,P0719,2019-05-12,12:22:58.549000
349,P0719,2019-05-13,08:22:58.108000
350,P0719,2019-05-14,07:18:16.486000
351,P0721,2019-05-08,10:01:31.183000
352,P0721,2019-05-09,10:01:40.903000
353,P0721,2019-05-10,09:37:41.278000
354,P0721,2019-05-11,08:24:54.225000
355,P0721,2019-05-12,11:28:19.703000
356,P0721,2019-05-13,10:18:15.696000
357,P0721,2019-05-14,10:08:41.622000
358,P0722,2019-05-08,11:45:07.411000
359,P0722,2019-05-09,10:13:25.663000
360,P0722,2019-05-10,09:16:33.426000
